Dealer,Make,Month,Brand,Consolidation,Categoria,No. of Units
St Martin Cars,Nissan,Dec-16,Versa,Versa,Compact Cars,58.00
St Martin Cars,Nissan,Dec-17,Kicks,Kicks,Compact SUV,40.00
St Martin Cars,Nissan,Dec-16,March,March,Subcompact Cars,25.00
St Martin Cars,Nissan,Jan-18,Kicks,Kicks,Compact SUV,24.00
St Martin Cars,Nissan,Mar-18,Kicks,Kicks,Compact SUV,20.00
St Martin Cars,Nissan,Nov-16,March,March,Subcompact Cars,19.00
St Martin Cars,Dacia,Mar-18,Dokker,Dokker,Commercial Bus/Vans,18.00
St Martin Cars,Nissan,Mar-18,Frontier,Frontier,Pick-Up,17.00
St Martin Cars,Nissan,Mar-17,Kicks,Kicks,Compact SUV,16.00
St Martin Cars,Nissan,May-18,Kicks,Kicks,Compact SUV,16.00
St Martin Cars,Dacia,Sep-17,Dokker,Dokker,Commercial Bus/Vans,14.00
St Martin Cars,Nissan,Nov-17,Kicks,Kicks,Compact SUV,14.00
St Martin Cars,Dacia,Dec-17,Stepway,Stepway,Midsize SUV,14.00
St Martin Cars,Nissan,Jul-18,Kicks,Kicks,Compact SUV,14.00
St Martin Cars,Dacia,Dec-17,Duster,Duster,Large SUV,13.00
St Martin Cars,Nissan,Aug-15,March,March,Subcompact Cars,3.00
St Martin Cars,RENAULT,Aug-15,Captur,Captur,Automovil,4.00
St Martin Cars,RENAULT,Aug-15,KANGOO,KANGOO,Automovil,1.00
St Martin Cars,RENAULT,Aug-15,TWINGO,TWINGO,Automovil,1.00
St Martin Cars,DACIA,Aug-15,DOKKER,DOKKER,Commercial Bus/Vans,1.00
Soremar,Kia,Dec-11,Sorento,Sorento,Automovil,7.00
Soremar,Kia,Dec-11,Sportage,Sportage,Automovil,20.00
Soremar,KIA,Jul-12,Picanto,Picanto,Automovil,8.00
Soremar,KIA,Jul-12,Rio,Rio,Automovil,4.00
Soremar,KIA,Jul-12,Sorento,Sorento,Automovil,1.00
Soremar,KIA,Jul-12,K Truck,K Truck,Automovil,1.00
Soremar,KIA,Jul-12,Sportage,Sportage,Automovil,11.00
Soremar,KIA,Jun-12,Cerato,Cerato,Automovil,7.00
Soremar,KIA,Jun-12,Picanto,Picanto,Automovil,7.00
Soremar,KIA,Jun-12,Rio,Rio,Automovil,6.00
Soremar,KIA,Jun-12,Sorento,Sorento,Automovil,4.00
Soremar,KIA,Jun-12,Sportage,Sportage,Automovil,13.00
Soremar,KIA,May-12,Cerato,Cerato,Automovil,2.00
Soremar,KIA,May-12,Optima,Optima,Automovil,2.00
Soremar,KIA,May-12,Picanto,Picanto,Automovil,1.00
Soremar,KIA,May-12,Rio,Rio,Automovil,3.00
Soremar,KIA,May-12,Carnival,Carnival,Automovil,2.00
Soremar,KIA,May-12,Sorento,Sorento,Automovil,1.00
Real Auto,SUZUKI,Aug-11,APV,APV,Automovil,2.00
Real Auto,SUZUKI,Aug-11,KIZASHI,KIZASHI,Automovil,1.00
Real Auto,TOYOTA,Aug-11,Yaris,Yaris,Automovil,2.00
Real Auto,TOYOTA,Aug-11,Corolla SD,Corolla SD,Automovil,3.00
Real Auto,TOYOTA,Aug-11,Rav 4,Rav 4,Automovil,1.00
Real Auto,TOYOTA,Aug-11,Prado,Prado,Automovil,1.00
Real Auto,TOYOTA,Aug-11,Hiace,Hiace,Automovil,2.00
Real Auto,TOYOTA,Aug-11,Hilux,Hilux,Automovil,2.00
Real Auto,TOYOTA,Aug-11,Hilux,Hilux,Automovil,1.00
Real Auto,TOYOTA,Aug-11,Hilux,Hilux,Automovil,1.00
Real Auto,MMC,Aug-11,L-300,L-300,Automovil,1.00
Real Auto,MMC,Aug-11,ASX,ASX,Automovil,3.00
Real Auto,GM,Sep-11,Spark,Spark,Automovil,2.00
Real Auto,GM,Sep-11,Aveo,Aveo,Automovil,1.00
Real Auto,SUZUKI,Sep-11,CELERIO,CELERIO,Automovil,1.00
Real Auto,SUZUKI,Sep-11,SWIFT,SWIFT,Automovil,4.00
Real Auto,SUZUKI,Sep-11,SX4,SX4,Automovil,3.00
Real Auto,SUZUKI,Sep-11,JIMNY,JIMNY,Automovil,2.00
Real Auto,SUZUKI,Sep-11,Vitara,Vitara,Automovil,3.00
Real Auto,SUZUKI,Sep-11,APV,APV,Automovil,2.00
Real Auto,TOYOTA,Sep-11,Corolla SD,Corolla SD,Automovil,5.00
Real Auto,TOYOTA,Sep-11,Rav 4,Rav 4,Automovil,2.00
Real Auto,TOYOTA,Sep-11,4 Runner,4 Runner,Compact Cars,1.00
Real Auto,TOYOTA,Sep-11,Hilux,Hilux,Automovil,2.00
Real Auto,MMC,Sep-11,ASX,ASX,Automovil,1.00
Real Auto,GM,Oct-11,Spark,Spark,Automovil,2.00
Real Auto,GM,Oct-11,CRUZE ,CRUZE ,Automovil,1.00
Real Auto,SUZUKI,Oct-11,SWIFT,SWIFT,Automovil,5.00
Real Auto,SUZUKI,Oct-11,SX4,SX4,Automovil,3.00
Real Auto,SUZUKI,Oct-11,JIMNY,JIMNY,Automovil,1.00
Real Auto,SUZUKI,Oct-11,Vitara,Vitara,Automovil,2.00
Real Auto,SUZUKI,Oct-11,Vitara,Vitara,Automovil,1.00
Real Auto,SUZUKI,Oct-11,APV,APV,Automovil,2.00
Real Auto,TOYOTA,Oct-11,Yaris,Yaris,Automovil,8.00
Real Auto,TOYOTA,Oct-11,Yaris,Yaris,Automovil,2.00
Real Auto,TOYOTA,Oct-11,Corolla SD,Corolla SD,Automovil,40.00
Real Auto,TOYOTA,Oct-11,COASTER,COASTER,Automovil,1.00
Real Auto,TOYOTA,Oct-11,Hilux,Hilux,Automovil,2.00
Real Auto,TOYOTA,Oct-11,Hilux,Hilux,Automovil,1.00
Real Auto,MMC,Oct-11,ASX,ASX,Automovil,3.00
Real Auto,GM,Nov-11,Spark,Spark,Automovil,4.00
Real Auto,GM,Nov-11,Colorado DC,Colorado DC,Automovil,2.00
Real Auto,GM,Nov-11,CMP Van,CMP Van,Automovil,2.00
Real Auto,GM,Nov-11,CRUZE ,CRUZE ,Automovil,1.00
Real Auto,SUZUKI,Nov-11,SWIFT,SWIFT,Automovil,5.00
Real Auto,SUZUKI,Nov-11,SX4,SX4,Automovil,4.00
Real Auto,SUZUKI,Nov-11,JIMNY,JIMNY,Automovil,2.00
Real Auto,SUZUKI,Nov-11,Vitara,Vitara,Automovil,1.00
